====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:58:08
Run label              : 36 qwen2.5:32b-q4_K_M t0
Transcripts            : ..\results\text-only\36-qwen2_5_32b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_192419\transcripts.yaml
Run directory          : ..\results\text-only\36-qwen2_5_32b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_192419
System prompt          : ..\results\text-only\36-qwen2_5_32b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_192419\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : qwen2.5:32b-instruct-q4_K_M
  llm_temperature     : 0
  llm_seed            : None
  llm_max_tokens      : 150
  stt_engine          : whisper
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.205 (245/1198 words); strata: clean 65, mild 39, severe 16
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_192419.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.00	  PASS	   100	    22	   49.4	  1.00	   1.00	       -	     -	     -	     -	     -	    yes
00005     	unspecified               	  0.00	  PASS	   100	    24	   50.1	  0.64	   0.64	    9496	     -	     -	     -	     -	    yes
00012     	unspecified               	  0.20	  FAIL	    90	    16	   50.7	  0.26	   0.47	    8992	     -	     -	     -	     -	     NO
00030     	unspecified               	  0.00	  FAIL	    90	    17	   34.0	  0.40	   0.40	    9585	     -	     -	     -	     -	     NO
00032     	unspecified               	  0.00	  FAIL	    89	     6	  130.2	  0.00	   0.00	    8928	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.00	  PASS	   100	    25	   55.4	  0.64	   0.64	    9456	     -	     -	     -	     -	    yes
00045     	unspecified               	  0.00	  PASS	   100	    16	   71.8	  0.38	   0.38	    8548	     -	     -	     -	     -	    yes
00046     	unspecified               	  0.00	  PASS	   100	    22	   57.1	  0.79	   0.79	    8577	     -	     -	     -	     -	    yes
00047     	unspecified               	  0.22	  FAIL	    90	    20	   39.3	  0.24	   0.25	   11369	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.00	  FAIL	    90	    32	   74.3	  0.74	   0.74	   10125	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  PASS	   100	    18	   14.4	  0.37	   0.00	   12138	     -	     -	     -	     -	    yes
00059     	unspecified               	  1.00	  PASS	   100	    15	   86.4	  0.64	   0.00	   11261	     -	     -	     -	     -	    yes
00063     	unspecified               	  0.00	  FAIL	    89	     7	   78.9	  0.73	   0.73	    8016	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  PASS	   100	    20	   57.1	  0.59	   0.59	    8660	     -	     -	     -	     -	    yes
00088     	unspecified               	  0.00	  PASS	   100	    11	   39.7	  0.34	   0.34	    7835	     -	     -	     -	     -	    yes
00089     	unspecified               	  0.00	  PASS	   100	    29	   46.3	  1.00	   1.00	    9512	     -	     -	     -	     -	    yes
00093     	unspecified               	  0.00	  PASS	   100	    23	   62.8	  1.00	   1.00	    6957	     -	     -	     -	     -	    yes
00100     	unspecified               	  0.00	  PASS	   100	     3	   91.0	  0.48	   0.48	    7398	     -	     -	     -	     -	    yes
00113     	unspecified               	  0.17	  PASS	   100	    20	   57.1	  0.32	   0.50	    9563	     -	     -	     -	     -	    yes
00118     	unspecified               	  0.18	  PASS	   100	    16	   71.8	  0.33	   0.25	    9641	     -	     -	     -	     -	    yes
00124     	unspecified               	  0.11	  PASS	   100	    10	   49.5	  0.34	   0.34	    7998	     -	     -	     -	     -	    yes
00130     	unspecified               	  3.60	  PASS	   100	    18	   50.4	  0.12	   0.00	   11512	     -	     -	     -	     -	    yes
00149     	unspecified               	  0.00	  PASS	   100	    13	   76.6	  0.26	   0.26	    9286	     -	     -	     -	     -	    yes
