====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:57:52
Run label              : 13 qwen2.5:3b-q4_K_M t0
Transcripts            : ..\results\text-only\13-qwen2_5_3b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_143134\transcripts.yaml
Run directory          : ..\results\text-only\13-qwen2_5_3b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_143134
System prompt          : ..\results\text-only\13-qwen2_5_3b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_143134\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : qwen2.5:3b-instruct-q4_K_M
  llm_temperature     : 0
  llm_seed            : None
  llm_max_tokens      : 150
  stt_engine          : vosk
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.350 (425/1215 words); strata: mild 66, severe 37, clean 17
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_143134.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.22	  FAIL	    90	    22	   80.3	  0.62	   0.77	       -	     -	     -	     -	     -	     NO
00005     	unspecified               	  0.08	  FAIL	    90	    12	   39.6	  0.51	   0.51	    7656	     -	     -	     -	     -	     NO
00012     	unspecified               	  0.50	  FAIL	    90	    18	   84.9	  0.00	   0.00	    7004	     -	     -	     -	     -	     NO
00030     	unspecified               	  0.25	  FAIL	    90	    19	   54.7	  0.17	   0.00	    7711	     -	     -	     -	     -	     NO
00032     	unspecified               	  0.00	  FAIL	    90	    15	   73.2	  0.73	   0.73	    7273	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.20	  FAIL	    90	    18	   47.6	  0.49	   0.34	    7209	     -	     -	     -	     -	     NO
00045     	unspecified               	  0.22	  PASS	   100	    14	   66.8	  0.20	   0.19	    6754	     -	     -	     -	     -	    yes
00046     	unspecified               	  0.00	  FAIL	    90	     9	   28.5	  0.40	   0.40	    6896	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.33	  FAIL	    90	    10	   19.0	  0.28	   0.73	    9299	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.30	  FAIL	    90	    24	   74.8	  0.32	   0.45	    7582	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  FAIL	    90	     8	   29.5	  0.10	   0.00	   10100	     -	     -	     -	     -	     NO
00059     	unspecified               	  1.00	  FAIL	    90	    12	   39.6	  0.54	   0.00	    9204	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    89	     7	   54.7	  1.00	   1.00	    6286	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  FAIL	    90	    19	   32.5	  1.00	   1.00	    6911	     -	     -	     -	     -	     NO
00088     	unspecified               	  0.11	  FAIL	    90	     8	   50.7	  0.74	   1.00	    6220	     -	     -	     -	     -	     NO
