baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.25,0.3,0.05,-0.0417,0.15,21,15,84,,n/a,0.405,1.0,False,,,"McNemar, chi-square with continuity correction",36,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.25,0.3,0.05,-0.0417,0.15,21,15,84,,n/a,0.405,1.0,False,,,"McNemar, chi-square with continuity correction",36,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9081,0.9016,-0.0065,-0.0232,0.0119,33,39,48,-0.012,negligible,0.521,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",72,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9081,0.9016,-0.0065,-0.0232,0.0119,33,39,48,-0.012,negligible,0.521,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",72,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,request_coverage,coverage of recognized request,response,higher,120,0.3014,0.2251,-0.0764,-0.1318,-0.0189,35,62,23,-0.175,small,0.0136,0.136,False,False,0.02,"Wilcoxon signed-rank, normal approximation",97,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,intent_coverage,coverage of intended question,response,higher,120,0.2497,0.1888,-0.0609,-0.1155,-0.0032,31,47,42,-0.1267,negligible,0.0533,0.373,False,False,0.02,"Wilcoxon signed-rank, normal approximation",78,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,echo_ratio,echo of the question,response,lower,120,0.2996,nan,nan,-0.1205,0.0078,56,40,24,-0.1558,small,0.0409,0.327,False,False,0.02,"Wilcoxon signed-rank, normal approximation",96,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,answer_presence,reference answer present,response,higher,120,0.025,0.0,-0.025,-0.0583,0.0,0,3,117,,n/a,0.25,1.0,False,,,"McNemar, exact binomial",3,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,reference_exact_match,exact match vs reference,response,higher,120,0.0083,0.0,-0.0083,-0.025,0.0,0,1,119,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",1,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,reference_token_f1,token F1 vs reference,response,higher,120,0.0537,0.0323,-0.0214,-0.048,0.0036,12,23,85,-0.0999,negligible,0.0797,0.478,False,False,0.02,"Wilcoxon signed-rank, normal approximation",35,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.1013,0.0488,-0.0525,-0.096,-0.0143,6,20,94,-0.1028,negligible,0.024,0.216,False,False,0.02,"Wilcoxon signed-rank, normal approximation",26,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0551,0.0331,-0.0219,-0.0486,0.0028,12,23,85,-0.099,negligible,0.0797,0.478,False,False,0.02,"Wilcoxon signed-rank, normal approximation",35,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,flesch_reading_ease,reading ease,response,higher,120,57.8159,53.5228,-4.2931,-14.5243,5.4231,53,58,9,-0.0494,negligible,0.412,1.0,False,False,2.0,"Wilcoxon signed-rank, normal approximation",111,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,flesch_kincaid_grade,grade level,response,lower,120,7.2757,7.6492,0.3735,-1.0402,1.8112,54,57,9,0.046,negligible,0.626,1.0,False,False,0.5,"Wilcoxon signed-rank, normal approximation",111,no detected change
