baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.0833,0.0917,0.0083,-0.05,0.0585,6,5,109,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",11,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.0833,0.0917,0.0083,-0.05,0.0585,6,5,109,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",11,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.8778,0.8819,0.0042,-0.0059,0.0146,21,14,85,0.0608,negligible,0.24,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",35,equivalent
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.8778,0.8819,0.0042,-0.0059,0.0146,21,14,85,0.0608,negligible,0.24,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",35,equivalent
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,request_coverage,coverage of recognized request,response,higher,120,0.412,0.4408,0.0288,-0.0168,0.0732,54,32,34,0.0633,negligible,0.0496,0.446,False,False,0.02,"Wilcoxon signed-rank, normal approximation",86,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,intent_coverage,coverage of intended question,response,higher,120,0.3302,0.3444,0.0142,-0.0214,0.0491,43,25,52,0.0272,negligible,0.162,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",68,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,echo_ratio,echo of the question,response,lower,120,0.32,0.3086,-0.0113,-0.0525,0.0283,38,43,39,-0.0182,negligible,0.821,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",81,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,answer_presence,reference answer present,response,higher,120,0.0333,0.0333,0.0,-0.0417,0.0417,3,3,114,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",6,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,reference_token_f1,token F1 vs reference,response,higher,120,0.0466,0.0389,-0.0076,-0.019,0.0033,8,16,96,-0.0385,negligible,0.209,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",24,equivalent
