baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.25,0.325,0.075,-0.0083,0.1583,18,9,93,,n/a,0.124,1.0,False,,,"McNemar, chi-square with continuity correction",27,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.25,0.325,0.075,-0.0083,0.1583,18,9,93,,n/a,0.124,1.0,False,,,"McNemar, chi-square with continuity correction",27,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9081,0.9162,0.0081,-0.0063,0.0226,31,32,57,0.0577,negligible,0.44,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",63,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9081,0.9162,0.0081,-0.0063,0.0226,31,32,57,0.0577,negligible,0.44,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",63,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,request_coverage,coverage of recognized request,response,higher,120,0.3014,0.2798,-0.0216,-0.074,0.0321,44,57,19,-0.0528,negligible,0.434,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",101,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,intent_coverage,coverage of intended question,response,higher,120,0.2497,0.2319,-0.0178,-0.0676,0.0319,39,40,41,-0.0308,negligible,0.705,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",79,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,echo_ratio,echo of the question,response,lower,120,0.2996,nan,nan,-0.0553,0.0524,37,47,36,-0.0027,negligible,0.78,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",84,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,answer_presence,reference answer present,response,higher,120,0.025,0.0167,-0.0083,-0.05,0.025,2,3,115,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",5,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,reference_exact_match,exact match vs reference,response,higher,120,0.0083,0.0083,0.0,-0.025,0.025,1,1,118,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",2,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,reference_token_f1,token F1 vs reference,response,higher,120,0.0537,0.0661,0.0124,-0.0196,0.0454,23,12,85,0.028,negligible,0.245,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",35,no detected change
