baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.1583,0.0917,-0.0667,-0.1333,0.0002,6,14,100,,n/a,0.115,1.0,False,,,"McNemar, exact binomial",20,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.1583,0.0917,-0.0667,-0.1333,0.0002,6,14,100,,n/a,0.115,1.0,False,,,"McNemar, exact binomial",20,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.8987,0.8908,-0.0079,-0.019,0.0033,26,32,62,-0.0599,negligible,0.148,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",58,equivalent
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.8987,0.8908,-0.0079,-0.019,0.0033,26,32,62,-0.0599,negligible,0.148,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",58,equivalent
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,request_coverage,coverage of recognized request,response,higher,120,0.4896,0.4523,-0.0373,-0.1021,0.022,44,52,24,-0.0623,negligible,0.307,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",96,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,intent_coverage,coverage of intended question,response,higher,120,0.3679,0.3326,-0.0353,-0.0911,0.0201,36,46,38,-0.0558,negligible,0.159,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",82,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,echo_ratio,echo of the question,response,lower,120,0.3136,0.2744,-0.0392,-0.0816,-0.0005,60,42,18,-0.1087,negligible,0.112,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",102,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,answer_presence,reference answer present,response,higher,120,0.025,0.025,0.0,-0.025,0.025,1,1,118,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",2,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0083,0.0083,0.0,0.025,1,0,119,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",1,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,reference_token_f1,token F1 vs reference,response,higher,120,0.0384,0.043,0.0046,-0.0125,0.0236,16,13,91,0.0284,negligible,0.863,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",29,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.0877,0.0931,0.0054,-0.0295,0.0409,13,8,99,0.0291,negligible,0.903,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",21,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0399,0.0456,0.0057,-0.0111,0.0237,16,13,91,0.0278,negligible,0.931,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",29,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,flesch_reading_ease,reading ease,response,higher,120,55.9592,54.9718,-0.9874,-6.0569,4.3747,51,62,7,-0.0304,negligible,0.421,1.0,False,False,2.0,"Wilcoxon signed-rank, normal approximation",113,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,flesch_kincaid_grade,grade level,response,lower,120,8.6127,9.1931,0.5804,-0.2896,1.392,49,64,7,0.0762,negligible,0.15,1.0,False,False,0.5,"Wilcoxon signed-rank, normal approximation",113,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,word_count,words,response,descriptive,120,15.8667,18.2917,2.425,0.2583,4.7252,0,0,120,0.0821,negligible,0.0733,,False,,,"Wilcoxon signed-rank, normal approximation",105,descriptive
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,sentence_count,sentences,response,descriptive,120,1.2667,1.2583,-0.0083,-0.1083,0.1,0,0,120,-0.0267,negligible,0.885,,False,,,"Wilcoxon signed-rank, normal approximation",40,descriptive
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,opening_words,opening sentence length,response,descriptive,120,12.75,14.125,1.375,-0.2583,2.975,0,0,120,0.0902,negligible,0.24,,False,,,"Wilcoxon signed-rank, normal approximation",96,descriptive
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,mean_words_per_sentence,words per sentence,response,descriptive,120,12.7125,14.4931,1.7806,0.3415,3.2084,0,0,120,0.1216,negligible,0.0805,,False,,,"Wilcoxon signed-rank, normal approximation",105,descriptive
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,estimated_tokens,estimated tokens,response,descriptive,120,21.2417,24.4,3.1583,0.2831,6.2,0,0,120,0.0796,negligible,0.0789,,False,,,"Wilcoxon signed-rank, normal approximation",105,descriptive
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,estimated_spoken_seconds,estimated speech seconds,response,descriptive,120,6.3467,7.3167,0.97,0.1033,1.8901,0,0,120,0.0821,negligible,0.0809,,False,,,"Wilcoxon signed-rank, normal approximation",105,descriptive
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,lat_llm_prompt_eval,prompt evaluation (ms),runtime,lower,119,28.0756,27.2353,-0.8403,-1.4624,-0.2437,53,32,34,-0.1753,small,0.00723,0.0579,False,True,5.0,"Wilcoxon signed-rank, normal approximation",85,equivalent
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,lat_llm_ttft,time to first token (ms),runtime,lower,119,865.5882,870.9832,5.395,-6.808,17.5225,52,67,0,0.0548,negligible,0.596,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",119,equivalent
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,lat_llm_ttfc,time to first speakable chunk (ms),runtime,lower,119,1046.2773,1057.1933,10.916,-10.555,31.3032,58,61,0,0.0708,negligible,0.563,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",119,equivalent
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,lat_llm_eval,generation time (ms),runtime,lower,119,238.2689,262.1345,23.8655,-1.1351,49.5739,52,65,2,0.0587,negligible,0.197,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",117,equivalent
