====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:57:53
Run label              : 14 qwen2.5:3b-q4_K_M t0.7/s42
Transcripts            : ..\results\text-only\14-qwen2_5_3b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_144739\transcripts.yaml
Run directory          : ..\results\text-only\14-qwen2_5_3b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_144739
System prompt          : ..\results\text-only\14-qwen2_5_3b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_144739\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : qwen2.5:3b-instruct-q4_K_M
  llm_temperature     : 0.7
  llm_seed            : 42
  llm_max_tokens      : 150
  stt_engine          : vosk
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.350 (425/1215 words); strata: mild 66, severe 37, clean 17
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_144739.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.22	  FAIL	    90	    12	   88.9	  0.41	   0.51	       -	     -	     -	     -	     -	     NO
00005     	unspecified               	  0.08	  FAIL	    90	    21	   32.4	  0.34	   0.34	    7945	     -	     -	     -	     -	     NO
00012     	unspecified               	  0.50	  FAIL	    90	    12	   66.8	  0.00	   0.00	    6936	     -	     -	     -	     -	     NO
00030     	unspecified               	  0.25	  FAIL	    90	    20	   57.1	  0.17	   0.00	    7614	     -	     -	     -	     -	     NO
00032     	unspecified               	  0.00	  FAIL	    90	    16	   63.7	  0.74	   0.74	    7272	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.20	  FAIL	    90	    20	   25.8	  0.49	   0.34	    7203	     -	     -	     -	     -	     NO
00045     	unspecified               	  0.22	  PASS	   100	    14	   66.8	  0.41	   0.39	    6731	     -	     -	     -	     -	    yes
00046     	unspecified               	  0.00	  FAIL	    90	     9	   28.5	  0.40	   0.40	    6905	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.33	  FAIL	    90	     8	   29.5	  0.29	   0.74	    9300	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.30	  FAIL	    90	    14	   59.7	  0.64	   0.72	    7387	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  FAIL	    90	    10	   52.9	  0.00	   0.00	   10096	     -	     -	     -	     -	     NO
00059     	unspecified               	  1.00	  FAIL	    90	    12	   53.7	  0.39	   0.00	    9216	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    89	     7	   54.7	  1.00	   1.00	    6286	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  FAIL	    90	     8	   29.5	  0.20	   0.20	    6609	     -	     -	     -	     -	     NO
00088     	unspecified               	  0.11	  FAIL	    90	     8	   50.7	  0.75	   1.00	    6216	     -	     -	     -	     -	     NO
00089     	unspecified               	  0.10	  PASS	   100	    18	   47.3	  0.17	   0.32	    6968	     -	     -	     -	     -	    yes
00093     	unspecified               	  0.80	  FAIL	    90	    19	   77.0	  1.00	   0.64	    5192	     -	     -	     -	     -	     NO
00100     	unspecified               	  0.43	  FAIL	    90	     8	  103.5	  0.74	   1.00	    6306	     -	     -	     -	     -	     NO
00113     	unspecified               	  0.08	  FAIL	    90	    16	   53.1	  0.66	   0.66	    7416	     -	     -	     -	     -	     NO
00118     	unspecified               	  0.27	  FAIL	    90	    15	   67.5	  0.84	   0.55	    7637	     -	     -	     -	     -	     NO
00124     	unspecified               	  0.11	  FAIL	    90	    15	   35.7	  0.20	   0.00	    6370	     -	     -	     -	     -	     NO
00130     	unspecified               	  3.60	  FAIL	    90	    21	   91.4	  0.00	   0.00	    9331	     -	     -	     -	     -	     NO
00149     	unspecified               	  0.35	  FAIL	    90	    38	   53.7	  0.49	   0.41	    7618	     -	     -	     -	     -	     NO
00170     	unspecified               	  0.33	  FAIL	    89	     7	   30.5	  0.49	   1.00	    6943	     -	     -	     -	     -	     NO
