baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.65,0.7,0.05,-0.05,0.15,22,16,82,,n/a,0.417,1.0,False,,,"McNemar, chi-square with continuity correction",38,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.65,0.7,0.05,-0.05,0.15,22,16,82,,n/a,0.417,1.0,False,,,"McNemar, chi-square with continuity correction",38,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9612,0.9681,0.0069,-0.0049,0.0185,24,17,79,0.0581,negligible,0.224,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",41,equivalent
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9612,0.9681,0.0069,-0.0049,0.0185,24,17,79,0.0581,negligible,0.224,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",41,equivalent
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,request_coverage,coverage of recognized request,response,higher,120,0.4505,0.4608,0.0103,-0.05,0.0668,58,51,11,0.0168,negligible,0.746,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",109,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,intent_coverage,coverage of intended question,response,higher,120,0.3665,0.3976,0.0311,-0.0243,0.0856,51,38,31,0.0526,negligible,0.186,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",89,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,echo_ratio,echo of the question,response,lower,120,0.2714,0.254,-0.0174,-0.05,0.0154,59,44,17,-0.059,negligible,0.217,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",103,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,answer_presence,reference answer present,response,higher,120,0.0417,0.1083,0.0667,0.0167,0.1167,9,1,110,,n/a,0.0215,0.15,False,,,"McNemar, exact binomial",10,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0083,0.0083,0.0,0.025,1,0,119,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",1,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,reference_token_f1,token F1 vs reference,response,higher,120,0.0427,0.0778,0.0351,0.0161,0.0561,36,15,69,0.1214,negligible,0.00112,0.0101,True,False,0.02,"Wilcoxon signed-rank, normal approximation",51,improved
