item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,now what does the name of the campus tv station,Campus TV station is called WTVN.,WYBC Yale Radio,True,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,6,1,33,6.0,6,8,2.4,87.95,2.48,0.2222,0.1707,9.0,2.0,1.0,0.0,1.0,False,1.0,mild,0.625,0.6,0.7744,0.1494,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,why did the bureau used to ensure the safe travels of aircraft,The Bureau of Transportation ensured safe flights by regulating air traffic control systems and enforcing safety standards.,"maps, blackboards, and mental calculations",True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,17,1,123,17.0,17,23,6.8,20.38,14.64,0.0833,0.0317,12.0,1.0,1.0,0.0,0.0,False,1.0,mild,0.3366,0.1538,0.3366,0.0,0.0952,0.0,0.0,5.0,0.2,0.1052,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7142.0,7824.0,182.0,174.0,20.0,1065.0,891.0,7202.0,1144.0,2536.0,323.0,323.0,1.0,19.0,323.0,104.2,1.0,1862.0,6977.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,what did on to his mother own when beyond say was a child,He went to school.,salon,False,True,True,1.0,1.0,,,4,1,18,4.0,4,5,1.6,118.18,-2.23,0.5,0.2264,10.0,5.0,2.0,0.0,3.0,False,0.75,severe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6840.0,6934.0,70.0,56.0,20.0,934.0,878.0,6924.0,1089.0,2121.0,93.0,93.0,1.0,6.0,324.0,85.2,1.0,2168.0,1160.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,what was one subject that average china never developed,China's history is vast and complex.,theology,True,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,6,1,36,6.0,6,8,2.4,59.75,6.42,0.25,0.16,8.0,2.0,1.0,0.0,1.0,False,0.8,mild,0.1753,0.25,0.0,-0.1753,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7430.0,7551.0,97.0,88.0,18.0,950.0,862.0,7522.0,-619.0,498.0,163.0,163.0,1.0,9.0,320.0,92.5,1.0,390.0,2321.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,in what years was the great famine,1918-1921.,1315–1317,False,True,True,1.0,1.0,,,2,1,10,2.0,2,3,0.8,204.81,-14.81,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['1918', '1921'], 'quantities': [], 'name_spans': [], 'atom_count': 2}",,,True,,7212.0,7279.0,77.0,83.0,18.0,975.0,892.0,7263.0,1021.0,2171.0,170.0,170.0,1.0,7.0,318.0,90.4,1.0,3916.0,2948.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,a property does combining tamper with brass or bronze create,"Brass is an alloy of copper and zinc, while bronze is an alloy of copper and tin.",hardness,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,17,1,81,17.0,17,23,6.8,80.1,6.31,0.2,0.0952,10.0,2.0,2.0,0.0,0.0,False,0.8333,mild,0.3183,0.2222,0.4688,0.1505,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7119.0,7205.0,201.0,195.0,22.0,1100.0,905.0,7189.0,783.0,2148.0,260.0,260.0,1.0,21.0,322.0,104.2,1.0,2671.0,4597.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,he different countries referred to plants by different names,Different countries refer to plants with various names.,single world-wide name,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,8,1,55,8.0,8,11,3.2,50.67,8.18,0.2222,0.0877,9.0,2.0,2.0,0.0,0.0,False,0.8,mild,0.7917,0.6667,1.0,0.2083,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6620.0,6723.0,95.0,88.0,19.0,899.0,811.0,6707.0,-2771.0,-1692.0,174.0,174.0,1.0,10.0,320.0,105.1,1.0,-1668.0,2925.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,how many tornadoes does houston usually get per year,Houston averages 20-30 tornadoes annually.,49.,True,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,6,1,42,6.0,6,8,2.4,45.65,8.38,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.4121,0.3333,0.4121,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': ['20', '30'], 'name_spans': [], 'atom_count': 2}",,,False,constraint violation: opener_at_most_five_words,6422.0,6868.0,116.0,108.0,22.0,947.0,839.0,6490.0,885.0,2021.0,184.0,184.0,1.0,11.0,322.0,94.3,1.0,1590.0,3169.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,what does she saying aba two thousand and nine presidential inauguration,She is referring to President Barack Obama's second term inauguration.,America the Beautiful,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,10,1,70,10.0,10,13,4.0,10.56,14.27,0.3333,0.4364,12.0,4.0,3.0,1.0,0.0,False,0.5,mild,0.1446,0.1429,0.2364,0.0918,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['President Barack Obama'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,9209.0,9296.0,139.0,132.0,19.0,999.0,867.0,9278.0,1150.0,2356.0,202.0,202.0,1.0,13.0,322.0,93.1,1.0,3129.0,3622.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,what concept took shape term while post tenure as prime minister,What concept took shape during your time as Prime Minister.,doctrine of cabinet solidarity,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,10,1,59,10.0,10,13,4.0,78.25,4.83,0.3,0.1875,10.0,3.0,2.0,0.0,1.0,False,0.75,mild,0.5459,0.7143,0.7225,0.1766,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Prime Minister'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,6910.0,7421.0,116.0,110.0,20.0,1004.0,894.0,6976.0,943.0,2126.0,175.0,175.0,1.0,12.0,322.0,102.7,1.0,1630.0,3320.0
