====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:57:40
Run label              : 01 llama3.2:1b-q4_K_M t0
Transcripts            : ..\results\text-only\01-llama3_2_1b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_104605\transcripts.yaml
Run directory          : ..\results\text-only\01-llama3_2_1b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_104605
System prompt          : ..\results\text-only\01-llama3_2_1b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_104605\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : llama3.2:1b-instruct-q4_K_M
  llm_temperature     : 0
  llm_seed            : None
  llm_max_tokens      : 150
  stt_engine          : vosk
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.350 (425/1215 words); strata: mild 66, severe 37, clean 17
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_104605.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.22	  FAIL	    89	     6	   88.0	  0.62	   0.77	       -	     -	     -	     -	     -	     NO
00005     	unspecified               	  0.08	  FAIL	    90	    17	   20.4	  0.34	   0.34	    7824	     -	     -	     -	     -	     NO
00012     	unspecified               	  0.50	  PASS	   100	     4	  118.2	  0.00	   0.00	    6934	     -	     -	     -	     -	    yes
00030     	unspecified               	  0.25	  FAIL	    89	     6	   59.8	  0.18	   0.00	    7551	     -	     -	     -	     -	     NO
00032     	unspecified               	  0.00	  PASS	   100	     2	  204.8	  0.00	   0.00	    7279	     -	     -	     -	     -	    yes
00035     	unspecified               	  0.20	  FAIL	    90	    17	   80.1	  0.32	   0.47	    7205	     -	     -	     -	     -	     NO
00045     	unspecified               	  0.22	  FAIL	    90	     8	   50.7	  0.79	   1.00	    6723	     -	     -	     -	     -	     NO
00046     	unspecified               	  0.00	  FAIL	    89	     6	   45.6	  0.41	   0.41	    6868	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.33	  FAIL	    90	    10	   10.6	  0.14	   0.24	    9296	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.30	  FAIL	    90	    10	   78.2	  0.55	   0.72	    7421	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  FAIL	    90	    14	   53.6	  0.35	   0.00	   10113	     -	     -	     -	     -	     NO
00059     	unspecified               	  1.00	  FAIL	    90	    24	   41.5	  0.12	   0.00	    9391	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    89	     6	   73.8	  0.73	   0.73	    6279	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  FAIL	    80	     9	  -18.5	  0.19	   0.19	    6755	     -	     -	     -	     -	     NO
00088     	unspecified               	  0.11	  FAIL	    89	     7	   -5.7	  0.74	   1.00	    6221	     -	     -	     -	     -	     NO
