item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,What is the name of the campus TV station?,Campus TV station is called WTV.,WYBC Yale Radio,True,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,6,1,32,6.0,6,8,2.4,87.95,2.48,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7744,0.6,0.7744,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,What did the Bureau used to ensure the safe travels of aircraft?,The Federal Aviation Administration (FAA) ensured safe travels by regulating and enforcing aviation standards.,"maps, blackboards, and mental calculations",True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,14,1,110,14.0,14,19,5.6,-0.75,16.84,0.0,0.0,12.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.3328,0.1818,0.3328,0.0,0.1111,0.0,0.0,5.0,0.2,0.1208,"{'years': [], 'quantities': [], 'name_spans': ['The Federal Aviation Administration'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,7142.0,8872.0,176.0,170.0,20.0,1058.0,888.0,7441.0,2161.0,3580.0,357.0,357.0,1.0,19.0,323.0,107.6,1.0,1862.0,6919.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,What did Beyonce's mother own when Beyonce was a child?,Beyoncé's mother owned a piano.,salon,False,True,True,1.0,1.0,,,5,1,31,5.0,5,7,2.0,66.4,5.24,0.2,0.0377,10.0,2.0,2.0,0.0,0.0,False,0.75,mild,0.2596,0.25,0.4759,0.2163,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6840.0,8174.0,102.0,95.0,19.0,886.0,791.0,7148.0,2476.0,3489.0,122.0,122.0,1.0,10.0,324.0,97.6,1.0,2168.0,1880.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,What was one subject that Avicenna never developed?,"""Medicine""",theology,True,False,False,0.7778,0.7778,opener_ends_with_full_stop;response_is_complete,opener_ends_with_full_stop;response_is_complete,1,1,10,1.0,1,2,0.4,-47.98,20.2,0.0,0.0,8.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,"constraint violation: opener_ends_with_full_stop, response_is_complete",7430.0,8715.0,57.0,62.0,23.0,891.0,829.0,7712.0,671.0,1664.0,97.0,97.0,1.0,5.0,321.0,87.3,1.0,390.0,789.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,In what years was the great famine?,1918-1921.,1315–1317,False,True,True,1.0,1.0,,,2,1,10,2.0,2,3,0.8,204.81,-14.81,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['1918', '1921'], 'quantities': [], 'name_spans': [], 'atom_count': 2}",,,True,,7212.0,8576.0,74.0,81.0,20.0,927.0,846.0,7473.0,4177.0,5267.0,158.0,158.0,1.0,7.0,318.0,93.8,1.0,3916.0,3041.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,What property does Combining Copper with Brass or Bronze create?,Alloy formation occurs when metals combine.,hardness,False,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,6,1,43,6.0,6,8,2.4,31.55,10.35,0.0,0.0,10.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7119.0,8548.0,96.0,88.0,19.0,956.0,868.0,7424.0,2976.0,4084.0,146.0,146.0,1.0,9.0,322.0,93.4,1.0,2671.0,2693.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,Do different countries refer to plants by different names?,Yes. Different countries have various plant names.,single world-wide name,False,True,True,1.0,1.0,,,7,2,50,3.5,1,9,2.8,58.25,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7779,0.8,0.7779,0.0,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6620.0,7932.0,104.0,18.0,20.0,829.0,811.0,6874.0,-1413.0,-501.0,78.0,204.0,2.0,10.0,320.0,95.6,1.0,-1668.0,3146.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,How many tornadoes does Houston usually get per year?,Houston averages 20-30 tornadoes annually.,49.,True,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,6,1,42,6.0,6,8,2.4,45.65,8.38,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.4118,0.3333,0.4118,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': ['20', '30'], 'name_spans': [], 'atom_count': 2}",,,False,constraint violation: opener_at_most_five_words,6422.0,7796.0,112.0,106.0,19.0,870.0,764.0,6699.0,1867.0,2953.0,212.0,212.0,1.0,11.0,321.0,97.6,1.0,1590.0,3320.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,What is she seeing at the 2009 presidential inauguration?,She saw Barack Obama's wife Michelle walk to the stage.,America the Beautiful,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,10,1,55,10.0,10,13,4.0,69.79,6.01,0.2222,0.0727,9.0,2.0,2.0,0.0,0.0,False,0.75,mild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Barack Obama'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,9209.0,10680.0,139.0,125.0,20.0,1037.0,912.0,9449.0,3368.0,4584.0,173.0,173.0,1.0,13.0,322.0,93.2,1.0,3129.0,3320.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,What concept took shape during Walpole's tenure as prime minister?,Prime Minister Robert Walpole,doctrine of cabinet solidarity,False,False,False,0.7778,0.7778,opener_ends_with_full_stop;response_is_complete,opener_ends_with_full_stop;response_is_complete,4,1,29,4.0,4,5,1.6,12.43,12.52,0.0,0.0,10.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.3719,0.75,0.3719,0.0,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Prime Minister Robert Walpole'], 'atom_count': 1}",,,False,"constraint violation: opener_ends_with_full_stop, response_is_complete",6910.0,8233.0,41.0,47.0,11.0,886.0,839.0,7195.0,1915.0,2936.0,130.0,130.0,1.0,6.0,323.0,146.2,1.0,1630.0,1834.0
00057,unspecified,False,00057.wav,Which political party was James Callaghan a member of?,What body has stated that physicians can also dispense drugs under specific conditions?,"Physicians can prescribe certain medications, but they must do so within specific medical guidelines.",Labour,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,14,1,101,14.0,14,19,5.6,23.43,13.47,1.4444,1.2453,9.0,13.0,9.0,0.0,4.0,False,0.0,severe,0.2472,0.25,0.0,-0.2472,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,9998.0,11636.0,171.0,166.0,20.0,1064.0,898.0,10302.0,2589.0,3903.0,245.0,245.0,1.0,18.0,325.0,105.0,1.0,2286.0,5839.0
00059,unspecified,False,00059.wav,What two architectural movements have come under criticism for their focus on individuality? ,Since when was the Rhine part of the aerial of Hallstatt culture?,The Rhine River was an important transportation route and settlement area during the Hallstatt culture period.,Modernism and Postmodernism,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,16,1,110,16.0,16,21,6.4,37.26,12.04,1.0,0.7912,13.0,13.0,12.0,1.0,0.0,False,0.0,severe,0.4713,0.2727,0.0,-0.4713,0.125,0.0,0.0,3.0,0.3333,0.1409,"{'years': [], 'quantities': [], 'name_spans': ['The Rhine River'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,8930.0,10401.0,140.0,134.0,16.0,880.0,746.0,9235.0,2354.0,3504.0,265.0,265.0,1.0,20.0,325.0,142.0,1.0,2050.0,6130.0
