====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:57:40
Run label              : 02 llama3.2:1b-q4_K_M t0.7/s42
Transcripts            : ..\results\text-only\02-llama3_2_1b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_110144\transcripts.yaml
Run directory          : ..\results\text-only\02-llama3_2_1b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_110144
System prompt          : ..\results\text-only\02-llama3_2_1b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_110144\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : llama3.2:1b-instruct-q4_K_M
  llm_temperature     : 0.7
  llm_seed            : 42
  llm_max_tokens      : 150
  stt_engine          : vosk
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.350 (425/1215 words); strata: mild 66, severe 37, clean 17
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_110144.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.22	  FAIL	    78	     2	  -49.0	  0.20	   0.25	       -	     -	     -	     -	     -	     NO
00005     	unspecified               	  0.08	  FAIL	    89	     6	   31.6	  0.33	   0.33	    7518	     -	     -	     -	     -	     NO
00012     	unspecified               	  0.50	  FAIL	    90	    14	   89.9	  0.37	   0.25	    6957	     -	     -	     -	     -	     NO
00030     	unspecified               	  0.25	  FAIL	    78	     3	  119.2	  0.00	   0.00	    7509	     -	     -	     -	     -	     NO
00032     	unspecified               	  0.00	  PASS	   100	     2	  204.8	  0.00	   0.00	    7281	     -	     -	     -	     -	    yes
00035     	unspecified               	  0.20	  PASS	   100	     5	   32.6	  0.00	   0.13	    7204	     -	     -	     -	     -	    yes
00045     	unspecified               	  0.22	  FAIL	    78	     1	  121.2	  0.00	   0.00	    6721	     -	     -	     -	     -	     NO
00046     	unspecified               	  0.00	  PASS	   100	     4	   75.9	  0.00	   0.00	    6796	     -	     -	     -	     -	    yes
00047     	unspecified               	  0.33	  FAIL	    78	     3	  -50.0	  0.29	   0.73	    9301	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.30	  FAIL	    90	    14	   83.8	  0.54	   0.72	    7496	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  FAIL	    89	     7	    6.4	  0.13	   0.00	   10102	     -	     -	     -	     -	     NO
00059     	unspecified               	  1.00	  FAIL	    90	    10	   52.9	  0.27	   0.00	    9246	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  PASS	   100	     1	  205.8	  0.00	   0.00	    6276	     -	     -	     -	     -	    yes
00072     	unspecified               	  0.00	  PASS	   100	     2	 -133.6	  0.00	   0.00	    6498	     -	     -	     -	     -	    yes
00088     	unspecified               	  0.11	  PASS	   100	     3	  119.2	  0.00	   0.00	    6218	     -	     -	     -	     -	    yes
00089     	unspecified               	  0.10	  FAIL	    78	     1	   36.6	  0.00	   0.00	    6992	     -	     -	     -	     -	     NO
00093     	unspecified               	  0.80	  FAIL	    80	    12	  103.0	  0.37	   0.30	    5036	     -	     -	     -	     -	     NO
00100     	unspecified               	  0.43	  FAIL	    89	     4	  118.2	  0.24	   0.48	    6308	     -	     -	     -	     -	     NO
00113     	unspecified               	  0.08	  FAIL	    90	    12	   39.6	  0.32	   0.32	    7339	     -	     -	     -	     -	     NO
00118     	unspecified               	  0.27	  PASS	   100	     4	  118.2	  0.00	   0.00	    7644	     -	     -	     -	     -	    yes
00124     	unspecified               	  0.11	  FAIL	    90	     9	   47.3	  0.81	   0.62	    6376	     -	     -	     -	     -	     NO
00130     	unspecified               	  3.60	  FAIL	    89	     7	   78.9	  0.25	   0.00	    9327	     -	     -	     -	     -	     NO
00149     	unspecified               	  0.35	  FAIL	    78	     5	   32.6	  0.12	   0.14	    7449	     -	     -	     -	     -	     NO
00170     	unspecified               	  0.33	  FAIL	    90	    14	   35.5	  0.50	   0.66	    6929	     -	     -	     -	     -	     NO
00178     	unspecified               	  0.11	  PASS	   100	     4	   75.9	  0.13	   0.13	    7903	     -	     -	     -	     -	    yes
00181     	unspecified               	  0.07	  PASS	   100	     2	   77.9	  0.00	   0.00	   10308	     -	     -	     -	     -	    yes
00197     	unspecified               	  0.17	  PASS	   100	     4	   54.7	  0.00	   0.00	   10153	     -	     -	     -	     -	    yes
00201     	unspecified               	  0.42	  FAIL	    90	    14	   97.0	  0.30	   0.14	    7627	     -	     -	     -	     -	     NO
00206     	unspecified               	  0.20	  FAIL	    89	     7	   18.4	  0.31	   0.31	    5386	     -	     -	     -	     -	     NO
00208     	unspecified               	  0.33	  FAIL	    90	    11	  103.4	  0.19	   0.16	    6759	     -	     -	     -	     -	     NO
00211     	unspecified               	  0.08	  FAIL	    80	    10	   69.8	  0.08	   0.08	   10024	     -	     -	     -	     -	     NO
00233     	unspecified               	  0.12	  FAIL	    90	    21	   72.7	  0.70	   0.70	    6087	     -	     -	     -	     -	     NO
00236     	unspecified               	  0.14	  FAIL	    89	     6	   73.8	  0.50	   0.50	    8286	     -	     -	     -	     -	     NO
00244     	unspecified               	  0.00	  PASS	   100	     1	  205.8	  0.00	   0.00	    7723	     -	     -	     -	     -	    yes
