====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:58:05
Run label              : 31 qwen2.5:3b-q4_K_M t0
Transcripts            : ..\results\text-only\31-qwen2_5_3b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_182321\transcripts.yaml
Run directory          : ..\results\text-only\31-qwen2_5_3b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_182321
System prompt          : ..\results\text-only\31-qwen2_5_3b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_182321\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : qwen2.5:3b-instruct-q4_K_M
  llm_temperature     : 0
  llm_seed            : None
  llm_max_tokens      : 150
  stt_engine          : whisper
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.205 (245/1198 words); strata: clean 65, mild 39, severe 16
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_182321.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.00	  FAIL	    90	    13	   76.6	  0.00	   0.00	       -	     -	     -	     -	     -	     NO
00005     	unspecified               	  0.00	  FAIL	    90	    21	   22.9	  0.34	   0.34	    8724	     -	     -	     -	     -	     NO
00012     	unspecified               	  0.20	  FAIL	    90	    11	   80.3	  0.52	   0.74	    8162	     -	     -	     -	     -	     NO
00030     	unspecified               	  0.00	  FAIL	    90	     9	    9.7	  0.61	   0.61	    8792	     -	     -	     -	     -	     NO
00032     	unspecified               	  0.00	  FAIL	    90	    10	  103.6	  1.00	   1.00	    8681	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.00	  FAIL	    90	    10	   69.8	  0.65	   0.65	    8417	     -	     -	     -	     -	     NO
00045     	unspecified               	  0.00	  PASS	   100	    13	   83.1	  0.38	   0.38	    8026	     -	     -	     -	     -	    yes
00046     	unspecified               	  0.00	  FAIL	    90	     9	   28.5	  0.40	   0.40	    7881	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.22	  FAIL	    90	     8	  -12.8	  0.24	   0.24	   10588	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.00	  FAIL	    90	     9	   28.5	  0.25	   0.25	    8276	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  FAIL	    90	    20	   31.7	  0.13	   0.00	   11561	     -	     -	     -	     -	     NO
00059     	unspecified               	  1.00	  FAIL	    90	    37	   71.5	  0.82	   0.00	   10900	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    89	     7	   54.7	  1.00	   1.00	    7547	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  FAIL	    90	    23	   26.0	  1.00	   1.00	    7938	     -	     -	     -	     -	     NO
00088     	unspecified               	  0.00	  FAIL	    90	     8	   50.7	  1.00	   1.00	    7461	     -	     -	     -	     -	     NO
00089     	unspecified               	  0.00	  FAIL	    90	    15	   33.7	  0.62	   0.62	    8301	     -	     -	     -	     -	     NO
00093     	unspecified               	  0.00	  FAIL	    90	    17	   68.8	  0.00	   0.00	    5947	     -	     -	     -	     -	     NO
00100     	unspecified               	  0.00	  FAIL	    90	     9	  103.7	  1.00	   1.00	    7595	     -	     -	     -	     -	     NO
00113     	unspecified               	  0.17	  FAIL	    90	    27	   42.7	  0.33	   0.32	    8936	     -	     -	     -	     -	     NO
00118     	unspecified               	  0.18	  FAIL	    90	    12	   53.7	  0.73	   0.55	    9120	     -	     -	     -	     -	     NO
00124     	unspecified               	  0.11	  FAIL	    90	    11	   18.8	  0.40	   0.40	    7676	     -	     -	     -	     -	     NO
00130     	unspecified               	  3.60	  FAIL	    90	     8	  103.5	  0.60	   0.00	   10663	     -	     -	     -	     -	     NO
00149     	unspecified               	  0.00	  PASS	   100	    17	   39.0	  0.26	   0.26	    8912	     -	     -	     -	     -	    yes
00170     	unspecified               	  0.33	  FAIL	    90	    11	   34.2	  1.00	   1.00	    8152	     -	     -	     -	     -	     NO
00178     	unspecified               	  0.00	  FAIL	    90	    17	   70.1	  0.56	   0.56	    9303	     -	     -	     -	     -	     NO
00181     	unspecified               	  0.00	  FAIL	    90	    16	   53.1	  0.00	   0.00	   11693	     -	     -	     -	     -	     NO
00197     	unspecified               	  0.00	  FAIL	    90	    34	   57.7	  0.29	   0.29	   11882	     -	     -	     -	     -	     NO
00201     	unspecified               	  0.17	  FAIL	    90	    19	   45.8	  0.14	   0.14	    9140	     -	     -	     -	     -	     NO
00206     	unspecified               	  0.20	  FAIL	    90	    19	   63.6	  0.00	   0.00	    6813	     -	     -	     -	     -	     NO
00208     	unspecified               	  0.25	  FAIL	    90	    11	   72.6	  1.00	   0.64	    7399	     -	     -	     -	     -	     NO
00211     	unspecified               	  0.00	  FAIL	    89	     7	   30.5	  0.39	   0.39	   10840	     -	     -	     -	     -	     NO
00233     	unspecified               	  0.12	  FAIL	    90	    10	   27.5	  1.00	   1.00	    7085	     -	     -	     -	     -	     NO
00236     	unspecified               	  0.00	  FAIL	    90	    19	   72.5	  0.00	   0.00	    9619	     -	     -	     -	     -	     NO
00244     	unspecified               	  0.00	  FAIL	    90	    12	   74.8	  0.86	   0.86	    9126	     -	     -	     -	     -	     NO
