====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:58:00
Run label              : 24 qwen2.5:32b-q4_K_M t0.7/s42
Transcripts            : ..\results\text-only\24-qwen2_5_32b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_164435\transcripts.yaml
Run directory          : ..\results\text-only\24-qwen2_5_32b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_164435
System prompt          : ..\results\text-only\24-qwen2_5_32b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_164435\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : qwen2.5:32b-instruct-q4_K_M
  llm_temperature     : 0.7
  llm_seed            : 42
  llm_max_tokens      : 150
  stt_engine          : vosk
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.350 (425/1215 words); strata: mild 66, severe 37, clean 17
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_164435.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.22	  FAIL	    90	    17	   53.9	  0.63	   0.78	       -	     -	     -	     -	     -	     NO
00005     	unspecified               	  0.08	  PASS	   100	    13	   37.5	  0.17	   0.17	    7983	     -	     -	     -	     -	    yes
00012     	unspecified               	  0.50	  PASS	   100	     4	   54.7	  0.00	   0.00	    6938	     -	     -	     -	     -	    yes
00030     	unspecified               	  0.25	  PASS	   100	    13	   18.0	  0.51	   0.39	    8047	     -	     -	     -	     -	    yes
00032     	unspecified               	  0.00	  FAIL	    90	    20	   61.3	  0.73	   0.73	    7284	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.20	  PASS	   100	    15	   58.2	  0.66	   0.51	    7219	     -	     -	     -	     -	    yes
00045     	unspecified               	  0.22	  PASS	   100	    24	   74.8	  0.55	   0.58	    7642	     -	     -	     -	     -	    yes
00046     	unspecified               	  0.00	  PASS	   100	    21	   58.7	  0.80	   0.80	    7628	     -	     -	     -	     -	    yes
00047     	unspecified               	  0.33	  PASS	   100	    17	   61.7	  0.14	   0.48	    9292	     -	     -	     -	     -	    yes
00054     	unspecified               	  0.30	  PASS	   100	    22	   53.3	  0.22	   0.25	    8077	     -	     -	     -	     -	    yes
00057     	unspecified               	  1.44	  PASS	   100	    16	   45.4	  0.49	   0.00	   10449	     -	     -	     -	     -	    yes
00059     	unspecified               	  1.00	  PASS	   100	    18	   88.0	  0.40	   0.00	    9906	     -	     -	     -	     -	    yes
00063     	unspecified               	  0.00	  FAIL	    89	     7	   54.7	  1.00	   1.00	    6626	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  PASS	   100	    18	   28.5	  0.80	   0.80	    7557	     -	     -	     -	     -	    yes
00088     	unspecified               	  0.11	  PASS	   100	     8	   86.5	  0.25	   0.33	    6211	     -	     -	     -	     -	    yes
00089     	unspecified               	  0.10	  PASS	   100	    15	   63.9	  0.00	   0.14	    7275	     -	     -	     -	     -	    yes
00093     	unspecified               	  0.80	  FAIL	    90	    19	   68.1	  0.37	   0.31	    5608	     -	     -	     -	     -	     NO
00100     	unspecified               	  0.43	  FAIL	    90	     9	  103.7	  0.49	   0.74	    6285	     -	     -	     -	     -	     NO
00113     	unspecified               	  0.08	  PASS	   100	    16	   56.0	  0.15	   0.15	    7841	     -	     -	     -	     -	    yes
00118     	unspecified               	  0.27	  PASS	   100	    23	   55.4	  0.69	   0.55	    8646	     -	     -	     -	     -	    yes
00124     	unspecified               	  0.11	  FAIL	    90	    13	   26.7	  0.00	   0.00	    6453	     -	     -	     -	     -	     NO
00130     	unspecified               	  3.60	  FAIL	    90	    14	   72.8	  0.00	   0.00	    9563	     -	     -	     -	     -	     NO
00149     	unspecified               	  0.35	  PASS	   100	    16	   61.2	  0.36	   0.42	    7848	     -	     -	     -	     -	    yes
00170     	unspecified               	  0.33	  PASS	   100	    13	   37.5	  0.77	   1.00	    7126	     -	     -	     -	     -	    yes
00178     	unspecified               	  0.11	  PASS	   100	    17	   78.8	  0.27	   0.43	    8545	     -	     -	     -	     -	    yes
00181     	unspecified               	  0.07	  PASS	   100	    23	   63.0	  0.44	   0.71	   11249	     -	     -	     -	     -	    yes
00197     	unspecified               	  0.17	  PASS	   100	    28	   -0.8	  0.30	   0.10	   10858	     -	     -	     -	     -	    yes
00201     	unspecified               	  0.42	  PASS	   100	    17	   43.9	  0.00	   0.00	    8135	     -	     -	     -	     -	    yes
00206     	unspecified               	  0.20	  FAIL	    70	    40	   63.4	  1.00	   0.66	    8277	     -	     -	     -	     -	     NO
00208     	unspecified               	  0.33	  PASS	   100	    14	   48.7	  0.58	   0.50	    7332	     -	     -	     -	     -	    yes
00211     	unspecified               	  0.08	  PASS	   100	    13	   46.2	  0.29	   0.29	   10435	     -	     -	     -	     -	    yes
