recognizer,item_id,filename,ori_text,stt_text,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum
vosk-small-en-us-0.15-cpu,00004,00004.wav,What is the name of the campus tv station?,now what does the name of the campus tv station,0.2222,0.1707,9.0,2.0,1.0,0.0,1.0,False,1.0,mild
vosk-small-en-us-0.15-cpu,00005,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,why did the bureau used to ensure the safe travels of aircraft,0.0833,0.0317,12.0,1.0,1.0,0.0,0.0,False,1.0,mild
vosk-small-en-us-0.15-cpu,00012,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,what did on to his mother own when beyond say was a child,0.5,0.2264,10.0,5.0,2.0,0.0,3.0,False,0.75,severe
vosk-small-en-us-0.15-cpu,00030,00030.wav,What was one subject that Avicenna never developed?,what was one subject that average china never developed,0.25,0.16,8.0,2.0,1.0,0.0,1.0,False,0.8,mild
vosk-small-en-us-0.15-cpu,00032,00032.wav,In what years was the Great Famine?,in what years was the great famine,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean
vosk-small-en-us-0.15-cpu,00035,00035.wav,What property does combining copper with brass or bronze create?,a property does combining tamper with brass or bronze create,0.2,0.0952,10.0,2.0,2.0,0.0,0.0,False,0.8333,mild
vosk-small-en-us-0.15-cpu,00045,00045.wav,Do different countries refer to plants by different names?,he different countries referred to plants by different names,0.2222,0.0877,9.0,2.0,2.0,0.0,0.0,False,0.8,mild
vosk-small-en-us-0.15-cpu,00046,00046.wav, How many tornadoes does Houston usually get per year?,how many tornadoes does houston usually get per year,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean
vosk-small-en-us-0.15-cpu,00047,00047.wav,What did she sing at the 2009 Presidential Inauguration?,what does she saying aba two thousand and nine presidential inauguration,0.3333,0.4364,12.0,4.0,3.0,1.0,0.0,False,0.5,mild
vosk-small-en-us-0.15-cpu,00054,00054.wav,What concept took shape during Walpole's tenure as prime minister?,what concept took shape term while post tenure as prime minister,0.3,0.1875,10.0,3.0,2.0,0.0,1.0,False,0.75,mild
vosk-small-en-us-0.15-cpu,00057,00057.wav,Which political party was James Callaghan a member of?,what body has stated that physicians can also dispense drugs under specific conditions,1.4444,1.2453,9.0,13.0,9.0,0.0,4.0,False,0.0,severe
vosk-small-en-us-0.15-cpu,00059,00059.wav,What two architectural movements have come under criticism for their focus on individuality? ,since when was the rhine part of the aerial of hall shot culture,1.0,0.7582,13.0,13.0,13.0,0.0,0.0,False,0.0,severe
vosk-small-en-us-0.15-cpu,00063,00063.wav,When was Yale Divinity School established?,when was yale divinity school established,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,1.0,clean
vosk-small-en-us-0.15-cpu,00072,00072.wav,Did the insurgency lead to any economic changes in Burma ?,did the insurgency lead to any economic changes in burma,0.0,0.0,10.0,0.0,0.0,0.0,0.0,True,1.0,clean
vosk-small-en-us-0.15-cpu,00088,00088.wav, How many students does the University of Texas have?,how many students doesn't the university of texas have,0.1111,0.0392,9.0,1.0,1.0,0.0,0.0,False,1.0,mild
vosk-small-en-us-0.15-cpu,00089,00089.wav,What company stated that Dell was preventing itself from innovating?,what company stated that del was preventing itself from innovating,0.1,0.0149,10.0,1.0,1.0,0.0,0.0,False,0.8333,mild
vosk-small-en-us-0.15-cpu,00093,00093.wav,What decoy city was hit ,white de quoi city with hit,0.8,0.3913,5.0,4.0,3.0,0.0,1.0,False,0.6667,severe
vosk-small-en-us-0.15-cpu,00100,00100.wav,What was Xbox Live Free renamed as?,what was x box live free renamed does,0.4286,0.1176,7.0,3.0,2.0,0.0,1.0,False,0.75,severe
vosk-small-en-us-0.15-cpu,00113,00113.wav,Which king of Prussia saw himself as the leader of the Enlightenment?,which king of prussia saw himself as a leader of the enlightenment,0.0833,0.0441,12.0,1.0,1.0,0.0,0.0,False,1.0,mild
vosk-small-en-us-0.15-cpu,00118,00118.wav,On what date did Frédéric begin his journey into Western Europe?,on what they did frederic chopin begin his journey into western europe,0.2727,0.2063,11.0,3.0,2.0,0.0,1.0,False,0.7143,mild
vosk-small-en-us-0.15-cpu,00124,00124.wav,What percentage of copper is used in industrial machinery?,what percentage of offer is used in industrial machinery,0.1111,0.0526,9.0,1.0,1.0,0.0,0.0,False,0.8,mild
vosk-small-en-us-0.15-cpu,00130,00130.wav,When was Renaissance Humanism developed?,it two thirds at the rhyme flows through the mass where does the other one third flow through,3.6,1.9231,5.0,18.0,5.0,0.0,13.0,False,0.0,severe
vosk-small-en-us-0.15-cpu,00149,00149.wav,What is the name of the process being considered in Arizona that allows copper to be recovered?,what's the name of the process been considered in arizona the allows copper to prove cupboard,0.3529,0.1809,17.0,6.0,5.0,1.0,0.0,False,0.8571,severe
vosk-small-en-us-0.15-cpu,00170,00170.wav,What does the Healthcare Advocates respect?,what does the health care advocates respect,0.3333,0.0238,6.0,2.0,1.0,0.0,1.0,False,0.6667,mild
vosk-small-en-us-0.15-cpu,00178,00178.wav,Locke's theory of natural rights influenced what French document?,locks theory of natural rights influenced what french document,0.1111,0.0159,9.0,1.0,1.0,0.0,0.0,False,0.8571,mild
vosk-small-en-us-0.15-cpu,00181,00181.wav,What percentage of the GDP was public expenditure health after 2004?,what percentage of their gdp was public expenditure health after two thousand and four,0.0714,0.3433,14.0,1.0,1.0,0.0,0.0,False,0.8571,mild
vosk-small-en-us-0.15-cpu,00197,00197.wav,What led scientists to believe that plants should be classified according to something other than just sexual system?,what lead scientist to believe that prince should be classified according to something other than just sexual system,0.1667,0.0517,18.0,3.0,3.0,0.0,0.0,False,0.8,mild
vosk-small-en-us-0.15-cpu,00201,00201.wav,What makes how one construes oneself now and in the future similar?,what makes how one can choose one oneself now and the teacher similar,0.4167,0.303,12.0,5.0,2.0,1.0,2.0,False,0.7143,severe
vosk-small-en-us-0.15-cpu,00206,00206.wav,Which Sun staffers were arrested?,which son staffers were arrested,0.2,0.0312,5.0,1.0,1.0,0.0,0.0,False,0.6667,mild
vosk-small-en-us-0.15-cpu,00208,00208.wav,"In the Bermuda land mass, how many islands are named ""Long Island""?",and the bermuda landmass how many islands are named long island's,0.3333,0.0635,12.0,4.0,3.0,1.0,0.0,False,0.6667,mild
vosk-small-en-us-0.15-cpu,00211,00211.wav,"Fearing traffic problems, how many people refused to leave Galveston before Hurricane Ike?",fearing traffic problems how many people refused to leave the galveston before hurricane ike,0.0769,0.0455,13.0,1.0,0.0,0.0,1.0,False,1.0,mild
vosk-small-en-us-0.15-cpu,00233,00233.wav,What were there periods of during the Triassic?,what were their periods of during the triassic,0.125,0.0435,8.0,1.0,1.0,0.0,0.0,False,1.0,mild
vosk-small-en-us-0.15-cpu,00236,00236.wav,What do the Chinese say is the total number of shocks after the quake?,what do the chinese say is a total number of shocked after the quake,0.1429,0.0725,14.0,2.0,2.0,0.0,0.0,False,1.0,mild
vosk-small-en-us-0.15-cpu,00244,00244.wav,"When did Madonna audition for a dance role in the show ""A Chorus Line?"" ",when did madonna audition for a dance role in the show a chorus line,0.0,0.0,14.0,0.0,0.0,0.0,0.0,True,1.0,clean
vosk-small-en-us-0.15-cpu,00245,00245.wav,What's the size of the South Ribble school population?,what's the size of the south the rebel school population,0.2222,0.1346,9.0,2.0,1.0,0.0,1.0,False,0.8,mild
vosk-small-en-us-0.15-cpu,00259,00259.wav,What causes sharp shadows around buildings? ,what causes sharp shadows around buildings,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,1.0,clean
vosk-small-en-us-0.15-cpu,00261,00261.wav,In what building did the Supreme Court of the United States first sit?,in what building the the supreme court of the united states first set,0.1538,0.058,13.0,2.0,2.0,0.0,0.0,False,0.8571,mild
vosk-small-en-us-0.15-cpu,00266,00266.wav,What percentage of its workforce did Dell terminate in from 2007 to 2009?,what percentage of it's workforce did doubt her money in from two thousand and seven to two thousand and nine,0.2941,0.7361,17.0,5.0,2.0,0.0,3.0,False,0.3333,mild
vosk-small-en-us-0.15-cpu,00267,00267.wav,When was Ezra Stiles president of Yale?,when was as styles president of yale,0.2857,0.1316,7.0,2.0,2.0,0.0,0.0,False,0.5,mild
vosk-small-en-us-0.15-cpu,00271,00271.wav,Who motivated Beyonce to explore other areas of music?,who motivated be on say to explore other areas of music,0.3333,0.0943,9.0,3.0,1.0,0.0,2.0,False,0.8333,mild
