baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.0833,0.1417,0.0583,-0.0083,0.1333,13,6,101,,n/a,0.167,1.0,False,,,"McNemar, exact binomial",19,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.0833,0.1417,0.0583,-0.0083,0.1333,13,6,101,,n/a,0.167,1.0,False,,,"McNemar, exact binomial",19,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.8778,0.9018,0.024,0.0129,0.0358,35,14,71,0.1914,small,0.000115,0.00173,True,False,0.02,"Wilcoxon signed-rank, normal approximation",49,improved
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.8778,0.9018,0.024,0.0129,0.0358,35,14,71,0.1914,small,0.000115,0.00173,True,False,0.02,"Wilcoxon signed-rank, normal approximation",49,improved
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,request_coverage,coverage of recognized request,response,higher,120,0.412,0.4383,0.0264,-0.0337,0.0856,51,45,24,0.038,negligible,0.36,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",96,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,intent_coverage,coverage of intended question,response,higher,120,0.3302,0.3656,0.0354,-0.0211,0.0909,52,32,36,0.042,negligible,0.0994,0.894,False,False,0.02,"Wilcoxon signed-rank, normal approximation",84,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,echo_ratio,echo of the question,response,lower,120,0.32,0.329,0.009,-0.0413,0.0593,35,53,32,0.0361,negligible,0.583,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",88,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,answer_presence,reference answer present,response,higher,120,0.0333,0.0667,0.0333,-0.0083,0.0833,6,2,112,,n/a,0.289,1.0,False,,,"McNemar, exact binomial",8,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,reference_token_f1,token F1 vs reference,response,higher,120,0.0466,0.0666,0.02,0.0011,0.0407,20,13,87,0.0317,negligible,0.108,0.894,False,False,0.02,"Wilcoxon signed-rank, normal approximation",33,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.1153,0.1462,0.0309,-0.0199,0.0789,15,8,97,0.0324,negligible,0.205,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",23,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0464,0.0704,0.0239,0.003,0.0468,20,13,87,0.0356,negligible,0.0684,0.684,False,False,0.02,"Wilcoxon signed-rank, normal approximation",33,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,flesch_reading_ease,reading ease,response,higher,120,56.235,54.3638,-1.8712,-6.49,2.9673,53,53,14,-0.0128,negligible,0.687,1.0,False,False,2.0,"Wilcoxon signed-rank, normal approximation",106,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,flesch_kincaid_grade,grade level,response,lower,120,7.777,7.9147,0.1377,-0.5791,0.8242,54,52,14,0.0025,negligible,0.893,1.0,False,False,0.5,"Wilcoxon signed-rank, normal approximation",106,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,word_count,words,response,descriptive,120,13.0167,11.7917,-1.225,-2.4006,-0.025,0,0,120,-0.0905,negligible,0.0753,,False,,,"Wilcoxon signed-rank, normal approximation",93,descriptive
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,sentence_count,sentences,response,descriptive,120,1.4333,1.35,-0.0833,-0.2,0.0417,0,0,120,-0.0508,negligible,0.172,,False,,,"Wilcoxon signed-rank, normal approximation",45,descriptive
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,opening_words,opening sentence length,response,descriptive,120,9.5833,8.975,-0.6083,-1.4835,0.2667,0,0,120,-0.0647,negligible,0.347,,False,,,"Wilcoxon signed-rank, normal approximation",93,descriptive
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,mean_words_per_sentence,words per sentence,response,descriptive,120,9.5028,9.0083,-0.4944,-1.2806,0.2667,0,0,120,-0.0853,negligible,0.284,,False,,,"Wilcoxon signed-rank, normal approximation",93,descriptive
