baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
23 qwen2.5:32b-q4_K_M t0,24 qwen2.5:32b-q4_K_M t0.7/s42,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.65,0.6167,-0.0333,-0.1333,0.0583,15,19,86,,n/a,0.607,1.0,False,,,"McNemar, chi-square with continuity correction",34,no detected change
23 qwen2.5:32b-q4_K_M t0,24 qwen2.5:32b-q4_K_M t0.7/s42,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.65,0.6167,-0.0333,-0.1333,0.0583,15,19,86,,n/a,0.607,1.0,False,,,"McNemar, chi-square with continuity correction",34,no detected change
23 qwen2.5:32b-q4_K_M t0,24 qwen2.5:32b-q4_K_M t0.7/s42,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9612,0.9553,-0.0059,-0.0187,0.0058,18,21,81,-0.0323,negligible,0.345,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",39,equivalent
23 qwen2.5:32b-q4_K_M t0,24 qwen2.5:32b-q4_K_M t0.7/s42,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9612,0.9553,-0.0059,-0.0187,0.0058,18,21,81,-0.0323,negligible,0.345,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",39,equivalent
23 qwen2.5:32b-q4_K_M t0,24 qwen2.5:32b-q4_K_M t0.7/s42,request_coverage,coverage of recognized request,response,higher,120,0.4505,0.4449,-0.0056,-0.0454,0.0343,47,51,22,-0.0199,negligible,0.607,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",98,no detected change
23 qwen2.5:32b-q4_K_M t0,24 qwen2.5:32b-q4_K_M t0.7/s42,intent_coverage,coverage of intended question,response,higher,120,0.3665,0.3622,-0.0044,-0.0391,0.0319,42,39,39,0.0006,negligible,0.974,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",81,no detected change
23 qwen2.5:32b-q4_K_M t0,24 qwen2.5:32b-q4_K_M t0.7/s42,echo_ratio,echo of the question,response,lower,120,0.2714,0.2613,-0.01,-0.0339,0.013,44,44,32,-0.0087,negligible,0.655,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",88,no detected change
23 qwen2.5:32b-q4_K_M t0,24 qwen2.5:32b-q4_K_M t0.7/s42,answer_presence,reference answer present,response,higher,120,0.0417,0.05,0.0083,-0.0167,0.0333,2,1,117,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",3,no detected change
23 qwen2.5:32b-q4_K_M t0,24 qwen2.5:32b-q4_K_M t0.7/s42,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
23 qwen2.5:32b-q4_K_M t0,24 qwen2.5:32b-q4_K_M t0.7/s42,reference_token_f1,token F1 vs reference,response,higher,120,0.0427,0.0398,-0.0029,-0.0106,0.0051,17,18,85,-0.0231,negligible,0.408,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",35,equivalent
