baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.1583,0.1083,-0.05,-0.125,0.025,8,14,98,,n/a,0.286,1.0,False,,,"McNemar, exact binomial",22,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.1583,0.1083,-0.05,-0.125,0.025,8,14,98,,n/a,0.286,1.0,False,,,"McNemar, exact binomial",22,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.8987,0.9054,0.0067,-0.0036,0.0176,28,23,69,0.0183,negligible,0.494,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",51,equivalent
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.8987,0.9054,0.0067,-0.0036,0.0176,28,23,69,0.0183,negligible,0.494,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",51,equivalent
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,request_coverage,coverage of recognized request,response,higher,120,0.4896,0.5699,0.0803,0.0158,0.1483,51,50,19,0.1345,negligible,0.122,0.608,False,False,0.02,"Wilcoxon signed-rank, normal approximation",101,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,intent_coverage,coverage of intended question,response,higher,120,0.3679,0.4602,0.0923,0.0324,0.1569,54,36,30,0.1506,small,0.00773,0.0696,False,False,0.02,"Wilcoxon signed-rank, normal approximation",90,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,echo_ratio,echo of the question,response,lower,120,0.3136,0.3974,0.0838,0.0349,0.1333,38,56,26,0.1916,small,0.00163,0.0163,True,False,0.02,"Wilcoxon signed-rank, normal approximation",94,degraded
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,answer_presence,reference answer present,response,higher,120,0.025,0.0667,0.0417,0.0,0.0917,7,2,111,,n/a,0.18,0.719,False,,,"McNemar, exact binomial",9,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,reference_token_f1,token F1 vs reference,response,higher,120,0.0384,0.064,0.0256,0.0059,0.0472,23,12,85,0.0876,negligible,0.0214,0.171,False,False,0.02,"Wilcoxon signed-rank, normal approximation",35,no detected change
