====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:57:59
Run label              : 23 qwen2.5:32b-q4_K_M t0
Transcripts            : ..\results\text-only\23-qwen2_5_32b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_162513\transcripts.yaml
Run directory          : ..\results\text-only\23-qwen2_5_32b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_162513
System prompt          : ..\results\text-only\23-qwen2_5_32b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_162513\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : qwen2.5:32b-instruct-q4_K_M
  llm_temperature     : 0
  llm_seed            : None
  llm_max_tokens      : 150
  stt_engine          : vosk
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.350 (425/1215 words); strata: mild 66, severe 37, clean 17
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_162513.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.22	  FAIL	    90	    17	   53.9	  0.63	   0.78	       -	     -	     -	     -	     -	     NO
00005     	unspecified               	  0.08	  PASS	   100	    16	   29.5	  0.51	   0.51	    8122	     -	     -	     -	     -	    yes
00012     	unspecified               	  0.50	  PASS	   100	    10	   83.3	  0.00	   0.00	    7132	     -	     -	     -	     -	    yes
00030     	unspecified               	  0.25	  FAIL	    90	    15	   35.7	  0.18	   0.00	    8207	     -	     -	     -	     -	     NO
00032     	unspecified               	  0.00	  FAIL	    89	     6	  130.2	  0.00	   0.00	    7294	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.20	  PASS	   100	    12	   59.8	  0.66	   0.51	    7220	     -	     -	     -	     -	    yes
00045     	unspecified               	  0.22	  PASS	   100	    21	   71.3	  0.58	   0.59	    7557	     -	     -	     -	     -	    yes
00046     	unspecified               	  0.00	  PASS	   100	    22	   61.0	  0.78	   0.78	    7583	     -	     -	     -	     -	    yes
00047     	unspecified               	  0.33	  PASS	   100	    18	   69.2	  0.14	   0.48	    9298	     -	     -	     -	     -	    yes
00054     	unspecified               	  0.30	  FAIL	    90	    16	   71.8	  0.31	   0.36	    7986	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  FAIL	    90	    19	   41.4	  0.86	   0.00	   10536	     -	     -	     -	     -	     NO
00059     	unspecified               	  1.00	  FAIL	    90	    26	   60.2	  0.40	   0.00	   10251	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    89	     7	   54.7	  1.00	   1.00	    6684	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  PASS	   100	    13	   50.6	  0.20	   0.20	    7242	     -	     -	     -	     -	    yes
00088     	unspecified               	  0.11	  PASS	   100	    17	   29.0	  0.75	   1.00	    6594	     -	     -	     -	     -	    yes
00089     	unspecified               	  0.10	  PASS	   100	    27	   45.9	  0.14	   0.28	    7984	     -	     -	     -	     -	    yes
00093     	unspecified               	  0.80	  FAIL	    90	    17	   78.8	  0.37	   0.30	    5653	     -	     -	     -	     -	     NO
00100     	unspecified               	  0.43	  PASS	   100	    11	  101.3	  0.74	   1.00	    6350	     -	     -	     -	     -	    yes
00113     	unspecified               	  0.08	  PASS	   100	    16	   56.0	  0.15	   0.15	    7824	     -	     -	     -	     -	    yes
00118     	unspecified               	  0.27	  FAIL	    90	    24	   53.7	  0.69	   0.55	    8501	     -	     -	     -	     -	     NO
00124     	unspecified               	  0.11	  PASS	   100	    14	    6.4	  0.43	   0.44	    6525	     -	     -	     -	     -	    yes
00130     	unspecified               	  3.60	  FAIL	    90	    14	   72.8	  0.00	   0.00	    9540	     -	     -	     -	     -	     NO
00149     	unspecified               	  0.35	  PASS	   100	    16	   61.2	  0.36	   0.42	    7854	     -	     -	     -	     -	    yes
00170     	unspecified               	  0.33	  PASS	   100	    13	   31.0	  0.51	   1.00	    7125	     -	     -	     -	     -	    yes
00178     	unspecified               	  0.11	  FAIL	    90	    27	   45.9	  0.41	   0.56	    8947	     -	     -	     -	     -	     NO
00181     	unspecified               	  0.07	  PASS	   100	    31	   84.5	  0.32	   0.56	   11813	     -	     -	     -	     -	    yes
00197     	unspecified               	  0.17	  FAIL	    80	    19	   72.5	  0.20	   0.10	   13498	     -	     -	     -	     -	     NO
00201     	unspecified               	  0.42	  FAIL	    90	    13	   11.5	  0.00	   0.00	    8010	     -	     -	     -	     -	     NO
00206     	unspecified               	  0.20	  PASS	   100	    32	   58.5	  1.00	   0.67	    6677	     -	     -	     -	     -	    yes
00208     	unspecified               	  0.33	  PASS	   100	    14	   84.9	  0.77	   0.66	    7152	     -	     -	     -	     -	    yes
00211     	unspecified               	  0.08	  PASS	   100	    20	   40.2	  0.69	   0.69	   10924	     -	     -	     -	     -	    yes
