====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:58:03
Run label              : 27 llama3.1:8b-q4_K_M t0
Transcripts            : ..\results\text-only\27-llama3_1_8b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_174549\transcripts.yaml
Run directory          : ..\results\text-only\27-llama3_1_8b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_174549
System prompt          : ..\results\text-only\27-llama3_1_8b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_174549\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : llama3.1:8b-instruct-q4_K_M
  llm_temperature     : 0
  llm_seed            : None
  llm_max_tokens      : 150
  stt_engine          : whisper
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.205 (245/1198 words); strata: clean 65, mild 39, severe 16
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_174549.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.00	  PASS	   100	    24	   21.9	  1.00	   1.00	       -	     -	     -	     -	     -	    yes
00005     	unspecified               	  0.00	  PASS	   100	    24	   -2.8	  0.00	   0.00	    9112	     -	     -	     -	     -	    yes
00012     	unspecified               	  0.20	  PASS	   100	    26	   58.1	  0.00	   0.00	    8771	     -	     -	     -	     -	    yes
00030     	unspecified               	  0.00	  PASS	   100	    18	    9.7	  0.39	   0.39	    9152	     -	     -	     -	     -	    yes
00032     	unspecified               	  0.00	  FAIL	    90	    29	   63.6	  0.74	   0.74	    9466	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.00	  PASS	   100	    33	   49.5	  0.64	   0.64	    9116	     -	     -	     -	     -	    yes
00045     	unspecified               	  0.00	  FAIL	    90	    45	   54.4	  0.77	   0.77	    8898	     -	     -	     -	     -	     NO
00046     	unspecified               	  0.00	  FAIL	    90	    38	   27.0	  0.56	   0.56	    8491	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.22	  PASS	   100	    35	   29.5	  0.24	   0.24	   11268	     -	     -	     -	     -	    yes
00054     	unspecified               	  0.00	  PASS	   100	    37	   41.1	  0.61	   0.61	    9035	     -	     -	     -	     -	    yes
00057     	unspecified               	  1.44	  FAIL	    90	    38	   24.8	  0.22	   0.00	   12201	     -	     -	     -	     -	     NO
00059     	unspecified               	  1.00	  FAIL	    90	    31	   43.5	  0.50	   0.00	   11033	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    90	    21	   55.2	  0.74	   0.74	    7806	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  FAIL	    90	    38	   58.2	  0.58	   0.58	    8552	     -	     -	     -	     -	     NO
00088     	unspecified               	  0.00	  FAIL	    90	    32	   69.0	  1.00	   1.00	    8072	     -	     -	     -	     -	     NO
