====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:58:02
Run label              : 26 llama3.2:3b-q4_K_M t0
Transcripts            : ..\results\text-only\26-llama3_2_3b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_172716\transcripts.yaml
Run directory          : ..\results\text-only\26-llama3_2_3b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_172716
System prompt          : ..\results\text-only\26-llama3_2_3b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_172716\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : llama3.2:3b-instruct-q4_K_M
  llm_temperature     : 0
  llm_seed            : None
  llm_max_tokens      : 150
  stt_engine          : whisper
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.205 (245/1198 words); strata: clean 65, mild 39, severe 16
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_172716.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.00	  FAIL	    89	     7	   91.0	  0.77	   0.77	       -	     -	     -	     -	     -	     NO
00005     	unspecified               	  0.00	  FAIL	    89	     6	  -24.9	  0.00	   0.00	    8621	     -	     -	     -	     -	     NO
00012     	unspecified               	  0.20	  FAIL	    89	     6	   73.8	  0.25	   0.46	    8228	     -	     -	     -	     -	     NO
00030     	unspecified               	  0.00	  PASS	   100	     5	   -1.3	  0.40	   0.40	    8760	     -	     -	     -	     -	    yes
00032     	unspecified               	  0.00	  FAIL	    90	    13	   44.0	  0.36	   0.36	    8623	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.00	  FAIL	    89	     6	   73.8	  0.64	   0.64	    8470	     -	     -	     -	     -	     NO
00045     	unspecified               	  0.00	  FAIL	    90	     8	   82.4	  0.78	   0.78	    8059	     -	     -	     -	     -	     NO
00046     	unspecified               	  0.00	  FAIL	    90	    10	   36.0	  0.79	   0.79	    7854	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.22	  FAIL	    90	    20	   30.0	  0.72	   0.74	   10865	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.00	  PASS	   100	     5	  100.2	  0.25	   0.25	    8146	     -	     -	     -	     -	    yes
00057     	unspecified               	  1.44	  FAIL	    89	     7	   30.5	  0.00	   0.00	   11417	     -	     -	     -	     -	     NO
00059     	unspecified               	  1.00	  FAIL	    90	    22	   68.8	  0.49	   0.00	   10645	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    90	     9	   37.9	  1.00	   1.00	    7723	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  FAIL	    90	    23	   70.1	  0.58	   0.58	    7993	     -	     -	     -	     -	     NO
00088     	unspecified               	  0.00	  FAIL	    90	     9	   -9.1	  1.00	   1.00	    7638	     -	     -	     -	     -	     NO
