item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,now what does the name of the campus tv station,"Campus TV station is called UCTV. UCTV is broadcast on channel 7 inside the university's dormitories and student centers, but I don't know if it's available online or not.",WYBC Yale Radio,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,29,2,171,14.5,6,39,11.6,57.92,8.78,0.2222,0.1707,9.0,2.0,1.0,0.0,1.0,False,1.0,mild,0.6283,0.1875,0.7763,0.1481,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': ['7'], 'name_spans': [], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,why did the bureau used to ensure the safe travels of aircraft,"Air traffic control services ensured safe travels. These services were typically provided by air traffic control towers or centers, which guided pilots through takeoff and landing procedures, as well as during flight through controlled airspace.","maps, blackboards, and mental calculations",True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,35,2,245,17.5,7,47,14.0,51.3,10.45,0.0833,0.0317,12.0,1.0,1.0,0.0,0.0,False,1.0,mild,0.3371,0.0769,0.3371,0.0,0.05,0.0,0.0,5.0,0.2,0.0578,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7142.0,8260.0,614.0,139.0,39.0,1043.0,904.0,7206.0,1144.0,2362.0,171.0,645.0,3.0,41.0,308.0,66.8,1.0,1862.0,13746.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,what did on to his mother own when beyond say was a child,"You're referring to a well-known phrase from a classic children's story. That would be George Washington, who chopped down a cherry tree as a young boy.",salon,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,27,2,152,13.5,12,36,10.8,83.47,4.97,0.5,0.2264,10.0,5.0,2.0,0.0,3.0,False,0.75,severe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['George Washington'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,6840.0,7299.0,492.0,217.0,38.0,1088.0,871.0,6925.0,1084.0,2378.0,201.0,385.0,2.0,33.0,309.0,67.0,1.0,2168.0,8103.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,what was one subject that average china never developed,"Most countries including China developed metallurgy early on. Metallurgy was likely introduced to ancient China through the Silk Road from Central Asia around 2000 BC. This facilitated significant advancements in technology and tool-making, allowing for more complex societies.",theology,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,39,3,277,13.0,8,52,15.6,24.44,13.08,0.25,0.16,8.0,2.0,1.0,0.0,1.0,False,0.8,mild,0.3439,0.1071,0.1959,-0.148,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': ['2000'], 'quantities': [], 'name_spans': ['Central Asia', 'Silk Road'], 'atom_count': 3}",,,False,constraint violation: opener_at_most_five_words,7430.0,8359.0,651.0,146.0,29.0,1014.0,868.0,7524.0,-619.0,631.0,233.0,834.0,3.0,49.0,305.0,75.2,1.0,390.0,16300.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,in what years was the great famine,"The Great Famine occurred mainly between 1315 and 1322, but some historians also mention a later period from 1346 to 1350 as another possible reference point for this widespread food shortage in Europe.",1315–1317,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,33,1,202,33.0,33,44,13.2,47.72,14.8,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7374,0.0952,0.7374,0.0,0.0606,0.0,0.0,2.0,0.5,0.072,"{'years': ['1315', '1322', '1346', '1350'], 'quantities': [], 'name_spans': ['The Great Famine'], 'atom_count': 5}",,,False,constraint violation: opener_at_most_five_words,7212.0,7276.0,677.0,495.0,36.0,1346.0,851.0,7263.0,1021.0,2940.0,570.0,700.0,2.0,45.0,303.0,66.4,1.0,3916.0,16288.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,a property does combining tamper with brass or bronze create,"Combining brass and bronze creates an alloy called gunmetal. Gunmetal is strong, corrosion-resistant, and has good conductive properties, making it suitable for various industrial applications.",hardness,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,26,2,193,13.0,9,35,10.4,27.69,12.63,0.2,0.0952,10.0,2.0,2.0,0.0,0.0,False,0.8333,mild,0.4815,0.1667,0.5081,0.0266,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7119.0,7180.0,525.0,205.0,39.0,1072.0,867.0,7165.0,783.0,2053.0,193.0,512.0,2.0,36.0,307.0,68.5,1.0,2671.0,11075.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,he different countries referred to plants by different names,"Many cultures have unique plant names. This is due to various languages and linguistic traditions evolving independently over time, resulting in distinct vocabularies for familiar species.",single world-wide name,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,26,2,188,13.0,6,35,10.4,17.93,13.99,0.2222,0.0877,9.0,2.0,2.0,0.0,0.0,False,0.8,mild,0.4088,0.1111,0.3762,-0.0327,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6620.0,7154.0,457.0,125.0,39.0,924.0,799.0,6709.0,-2770.0,-1696.0,145.0,553.0,3.0,32.0,305.0,69.9,1.0,-1668.0,11702.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,how many tornadoes does houston usually get per year,"Houston typically gets around seven tornadoes annually. According to records, the majority are classified as weak tornadoes, with most causing minor damage.",49.,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,22,2,156,11.0,7,29,8.8,22.62,12.84,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.4226,0.1875,0.4226,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6422.0,7255.0,424.0,134.0,38.0,1005.0,871.0,6490.0,886.0,2077.0,181.0,424.0,2.0,30.0,307.0,70.7,1.0,1590.0,9137.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,what does she saying aba two thousand and nine presidential inauguration,"Barack Obama's first inauguration was in 2009. He took office on January fourteenth, giving his inaugural address to a large crowd on the National Mall in Washington D. C..",America the Beautiful,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,29,2,172,14.5,7,39,11.6,52.09,9.6,0.3333,0.4364,12.0,4.0,3.0,1.0,0.0,False,0.5,mild,0.1433,0.0556,0.4873,0.344,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['2009'], 'quantities': [], 'name_spans': ['Barack Obama', 'National Mall'], 'atom_count': 3}",,,False,constraint violation: opener_at_most_five_words,9209.0,9295.0,526.0,191.0,39.0,1040.0,849.0,9280.0,1144.0,2387.0,199.0,485.0,3.0,38.0,307.0,72.2,1.0,3129.0,10646.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,what concept took shape term while post tenure as prime minister,"The concept of European integration took shape during Tony Blair's post-tenure period, after he left office in 2007, when he became a strong advocate for a federal Europe.",doctrine of cabinet solidarity,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,29,1,171,29.0,29,39,11.6,43.21,14.44,0.3,0.1875,10.0,3.0,2.0,0.0,1.0,False,0.75,mild,0.5642,0.25,0.5925,0.0283,0.0667,0.0,0.0,4.0,0.25,0.0768,"{'years': ['2007'], 'quantities': [], 'name_spans': ['Tony Blair'], 'atom_count': 2}",,,False,constraint violation: opener_at_most_five_words,6910.0,8100.0,539.0,452.0,39.0,1399.0,947.0,6981.0,945.0,2716.0,367.0,457.0,2.0,38.0,307.0,70.4,1.0,1630.0,10425.0
00057,unspecified,False,00057.wav,Which political party was James Callaghan a member of?,what body has stated that physicians can also dispense drugs under specific conditions,"The American Medical Association has made this statement. Physicians are allowed to dispense certain medications in specific situations when there is no pharmacy available, but laws vary by state.",Labour,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,29,2,196,14.5,8,39,11.6,25.83,13.26,1.4444,1.2453,9.0,13.0,9.0,0.0,4.0,False,0.0,severe,0.3655,0.1765,0.0,-0.3655,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['The American Medical Association'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,9998.0,10368.0,520.0,152.0,39.0,1034.0,882.0,10082.0,917.0,2141.0,186.0,519.0,2.0,35.0,310.0,67.2,1.0,2286.0,10588.0
00059,unspecified,False,00059.wav,What two architectural movements have come under criticism for their focus on individuality? ,since when was the rhine part of the aerial of hall shot culture,"I'm not sure what you mean by ""hall shot culture"". Can you clarify your question?",Modernism and Postmodernism,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,15,2,81,7.5,10,20,6.0,92.06,2.28,1.0,0.7582,13.0,13.0,13.0,0.0,0.0,False,0.0,severe,0.4318,0.375,0.0,-0.4318,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,8930.0,9359.0,285.0,177.0,34.0,1113.0,936.0,9011.0,1061.0,2386.0,208.0,285.0,2.0,20.0,310.0,70.2,1.0,2050.0,4620.0
00063,unspecified,False,00063.wav,When was Yale Divinity School established?,when was yale divinity school established,"Yale Divinity School was founded in 1822. It is one of the largest and most prestigious divinity schools in the world, affiliated with Yale University in New Haven, Connecticut.",1822,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,29,2,177,14.5,7,39,11.6,46.26,10.41,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7258,0.3529,0.7258,0.0,0.0714,1.0,0.0,1.0,1.0,0.0858,"{'years': ['1822'], 'quantities': [], 'name_spans': ['New Haven', 'Yale Divinity School', 'Yale University'], 'atom_count': 4}",,,False,constraint violation: opener_at_most_five_words,6193.0,6822.0,585.0,205.0,36.0,1096.0,891.0,6269.0,1303.0,2621.0,218.0,545.0,2.0,40.0,304.0,68.3,1.0,2481.0,11644.0
00072,unspecified,False,00072.wav,Did the insurgency lead to any economic changes in Burma ?,did the insurgency lead to any economic changes in burma,"The insurgency did affect Burma's economy. The country experienced inflation and a decline in foreign investment, especially during the 1988 uprising, but the exact impact on the economy is still debated among experts.",an increase in economic sanctions against the Burmese Government.,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,33,2,218,16.5,6,44,13.2,28.58,13.37,0.0,0.0,10.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.4152,0.0952,0.4152,0.0,0.0588,0.0,0.0,7.0,0.1429,0.0658,"{'years': ['1988'], 'quantities': [], 'name_spans': [], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,6283.0,7240.0,549.0,118.0,33.0,887.0,769.0,6370.0,1010.0,2047.0,146.0,619.0,3.0,41.0,307.0,74.7,1.0,1771.0,13084.0
00088,unspecified,False,00088.wav, How many students does the University of Texas have?,how many students doesn't the university of texas have,"I'm unsure what you mean by ""doesn't"". Are you asking about the total number of students at the University of Texas?","40,000",True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,21,2,116,10.5,7,28,8.4,67.26,6.49,0.1111,0.0392,9.0,1.0,1.0,0.0,0.0,False,1.0,mild,1.0,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6144.0,6267.0,398.0,178.0,37.0,1041.0,863.0,6198.0,665.0,1854.0,144.0,323.0,2.0,27.0,306.0,67.8,1.0,1984.0,5955.0
